codigo,descrip,stock,prventa,sbtotal,prcosto,sbtot
004212,ANTIBAC_LIMPIA_VIDRIOS/SUPERFICIES_500CC,55,890,48950,816.34,44899
005400,LIMPIA_VIDRIO_BRILLEX_500CC*12,32,10788,345216,9960.00,318720
000311,PPP,434,1,434,1.00,434
000313,ESCOBILLON_BZZ,-10,850,-8500,699.72,-6997
000325,BOLSA_50X70_TEDDY,2426,350,849100,293.90,713001
000331,BOLSA_80X110_TEDDY,3854,1190,4586260,882.69,3401887
000443,VANISH_SOBRE_MIXTO_X24,58,8400,487200,6006.99,348405
000457,CLORO_ARCADIA_1000_MULTIUSO*12,73,8280,604440,6199.90,452593
000477,CLORO_ROPA_COLOR_ARCADIA_960CC*12,81,13080,1059480,9120.00,738720
000497,DET._SODAK_PREMIUM_5L,-6,1690,-10140,1435.40,-8612
000507,LAVALOZA_CONCENTRADO_SODAK_5L,2,1890,3780,1383.60,2767
000535,JABON_DEX_*4,540,899,485460,790.00,426600
000579,PAÑO_ESPONJA_DOM_*3,268,590,158120,510.00,136680
000585,RENOVA._DE_NEUMATICOS_TEDDY_450_CM3,3,1390,4170,1190.00,3570
000593,DORA_CAOBA_340CC*12,26,9588,249288,8093.24,210424
000595,DORA_INCOL_340CC*12,9,9588,86292,7667.17,69005
000599,DORA_NATURAL_340CC*12,10,9588,95880,8093.24,80932
000611,LAVALOZA_DORA_500CC,54,750,40500,648.35,35011
000617,ANTIGRASA_DORA_500CC,576,990,570240,950.65,547574
000619,LIMP._VIDRIOS_DORA_500CC,467,990,462330,923.71,431373
000623,CERA_CON_TIERRA_DORA_400CC*10,10,7990,79900,7837.00,78370
000659,HORMIG._TANAX_LIQ.500,52,2490,129480,1952.79,101545
000672,TANAX_LIQU._180CC,43,1990,85570,1219.75,52449
000683,TANAX_AEROSOL_MAT.INS._220CC,312,1090,340080,969.85,302593
000685,TANAX_T/I__220CC,876,1090,954840,1188.38,1041021
000687,TANAX_AEROSOL_M/Z_220CC,336,1090,366240,1083.39,364019
000697,TANAX_CASA_Y_JARDIN_500CC,1125,1790,2013750,1428.00,1606500
000700,TANAX_AERO.__ARAÑA/BARATA_500_CC,12583,1790,22523570,1428.00,17968524
000704,TANAX_AERO.__ARAÑA_Y_BARATAS_440CC,20,1390,27800,2047.99,40960
000764,_LADY_SPEED_STICK_BARRA,30,1790,53700,1420.00,42600
000782,JABON_BALLERINA_750ML*12,197,13080,2576760,11868.00,2337996
000788,ESPONJA_ECONOMICA,14,4000,56000,3700.00,51800
000822,PAÑAL_BABYSEC_G_X18,57,21900,1248300,19650.47,1120077
000824,PAÑAL_BABYSEC_XG_X14,331,21900,7248900,19650.47,6504306
000848,PAÑAL_CHIKOOL_M_22X8,131,19900,2606900,18320.00,2399920
000850,PAÑAL_CHIKOOL_XG_X16,20,19900,398000,22200.00,444000
000852,PAÑAL_CHIKOOL_XXG_X16,49,19990,979510,18320.00,897680
000860,TOALLITA_DESINF._CHIKOOL,18,900,16200,700.00,12600
000862,TOALLITAS_CHIKOOL_50UN,8,750,6000,670.00,5360
000866,TOALLITAS_CHIKOOL_NEW_80UN,3791,1180,4473380,1000.00,3791000
000870,TANAX_AERO._MOSCA_Y_ZANCUDO_500CC,472,1790,844880,1404.20,662782
000874,VELAS_ECONOMICA_ANTORCHA,2368,550,1302400,404.20,957146
000876,VELAS_GIGANTES_ANTORCHA,1144,1190,1361360,971.06,1110893
000878,P.HIG._SCOTT_RINDEMAX_8*6,32,9690,310080,8900.00,284800
000880,LADYSOFT_NOCT_TELA_SUAVE_x7_282,3816,790,3014640,559.99,2136922
000886,LADYSOFT_PLANA_S/ALAS_173,5101,490,2499490,370.50,1889921
000965,VIRUTILLA_DORADA_TEDDY*25,1,7250,7250,6250.00,6250
001022,TOALLAS_HIG._PARATI_NOCT._C/A*16,6,11040,66240,9978.50,59871
001024,PROTECTORES_DIARIOS_FIORELLA_X20UN,186,20700,3850200,14798.84,2752584
001104,OMO_MATIC_MULTIAC_POLVO_400GR,953,950,905350,850.00,810050
001106,OMO_MATIC_SOFT_400GR,1675,950,1591250,850.00,1423750
001108,OMO_CORRIENTE_POLVO_HS_400GR,1570,950,1491500,850.00,1334500
001112,QUIX_500ML*15,541,14850,8033850,11850.00,6410850
001116,TRAPERO_HUMEDO_PISO_FLOTANTE_TEDDY*12,39,15480,603720,13793.88,537961
001124,EMB._P._HIG._SWAN__8*6,167,8290,1384430,8000.37,1336062
001148,TANAX_ARAÑA/BARATA_SIN_OLOR_500CC,10232,1790,18315280,1428.00,14611296
001163,TANAX_T/INSECTO_SIN_OLOR_220,5103,1090,5562270,969.85,4949145
001167,CLORO_GEL_IGENIX_900ML*10,555,10900,6049500,9290.00,5155950
001173,TANAX_CASA/JARDIN_220CC,-12,1090,-13080,969.85,-11638
001188,RAYFILTER_50_G._*12,863,3480,3003240,350.00,302050
001198,ARROZ_GRADO_1,350,9900,3465000,10591.00,3706850
001218,PAÑAL_BABYSEG_XXG*14,767,21900,16797300,19650.47,15071910
001239,DESODORANTE_MALIZIA_HOMB,2411,1390,3351290,1190.00,2869090
001241,DESODORANTE_MALIZIA_MUJ,12,1390,16680,1190.00,14280
001243,GEL_DOUCHA_MALIZIA_1LT,632,1790,1131280,1590.00,1004880
001245,ESPONJA_PURITY_METALICA_X20,57,3980,226860,3400.00,193800
001247,ESPONJA_PARRILERA_PURITY*20,254,3000,762000,2180.00,553720
001251,ESPIRAL_PURITY_PLATEADO_X25,92,5750,529000,3375.00,310500
001255,FIBRA_P/_TRAB._DIFICILES_X10,1,4800,4800,4400.00,4400
001318,SCHICK_EXTREM_3_*12,382,8388,3204216,6889.90,2631942
001320,SCHICK_4_*10_FEMENINA,167,7990,1334330,7099.93,1185688
001324,LAV._VIRGINIA_D/PACK_1_LT*12,153,13080,2001240,12000.00,1836000
001334,DES._DEO_SECRET,108,990,106920,700.00,75600
001336,DESODORANTE_AEROSOL_REXONA_MUJER,6,1690,10140,1450.00,8700
001372,EMUWIPES_CON_TAPA_*9,1,23310,23310,21690.13,21690
001388,SUAVIZANTE_FUZOL_1L*12,157,11880,1865160,10200.00,1601400
001399,AMBIENTALES_WINNEX_400ML,20287,870,17649690,778.95,15802559
001411,PEPSODENT_INTEGRAL_75_ML,16043,790,12673970,690.00,11069670
001415,COLGATE_TRIPLE*12,86,10990,945140,10427.97,896805
001417,COLGATE_LUMINOUS_WHITE_140G*12,10,23880,238800,21600.00,216000
001421,BAYGON_ARAÑA_Y_CUCARACHA_*12,47,12000,564000,19080.00,896760
001423,BAYGON_CASA_Y_JARDIN_*12,1,12000,12000,19080.00,19080
001425,BAYGON_MOSCA_*12,5,23880,119400,9000.00,45000
001429,CHIKOOL_ALGODON_BALL_50,2840,690,1959600,450.00,1278000
001431,CHIKOOL_COTONITOS_100,1154,480,553920,425.00,490450
001457,VELAS_PUERTO_VARAS_SUPER_ECO.,442,490,216580,410.00,181220
001459,VELAS_PUERTO_VARAS_GIGANTE,1365,1090,1487850,953.00,1300845
001473,TRAPERO_HUMEDO_PURITY*12,69,14280,985320,12959.10,894178
001475,ESPONJA_EXTREM*4,291,1200,349200,1000.00,291000
001487,CERA_NEWAX_CAOBA_*12,55,9480,521400,8750.00,481250
001492,CERA_NEWAX_INCOLORA*12,19,9480,180120,8750.00,166250
001499,VELAS_WINNEX_EXTRA_GRANDE,2185,1090,2381650,974.55,2129392
001523,ZAETA_CASA_Y_JARDIN_*12,2,10800,21600,0.00,0
001525,QUIX_750_ML_*12,128,19080,2442240,17400.00,2227200
001527,HOME_SWEET_CASA_*6,18,8340,150120,8100.00,145800
001529,HOME_SWEET_MOSCA_*6,4,8340,33360,6000.00,24000
001547,TOALLITA_BABYSEC_PREMIUM_45UN*10,76,6990,531240,5600.00,425600
001565,RINSO_DILUIR_500ML,2366,2390,5654740,2150.00,5086900
001571,SCHICK_2___*12,2,3240,6480,0.00,0
001585,LUSTRA_MUEBLE_WINEX,35,890,31150,822.50,28788
001587,RECARGA_WINNEX,949,1290,1224210,1139.52,1081404
