codint,descrip,cantidad,stock,ventas01,ventas02,ventas03,ventas04,ventas05,ventas06,ventas07,ventas08,ventas09,ventas10,ventas11,ventas12,ventas13,costoven,stk01,stk02,stk03,stk04,stk05,stk06,stk07,stk08,stk09,stk10,stk11,stk12,familia,prcosto
003628,TOALLA_OVELLA_CLASICA_11MT_8*3UN,12,1,0,0,0,0,0,0,0,0,0,0,0,0,76780,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,6718.00
002808,NOBLE_23_MTS_8*6,93,1,0,0,0,0,0,0,0,0,0,0,0,0,778950,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,8250.00
002836,P.HIG._ELITE_50MT_8*4,37,1,0,0,0,0,0,0,0,0,0,0,0,0,629030,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,16789.00
002810,ABOLENGO_XL_*6,18,1,0,0,0,0,0,0,0,0,0,0,0,0,237420,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,13500.00
000782,JABON_BALLERINA_750ML*12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,123156,0,0,0,0,0,0,0,0,0,0,0,0,0,SHAMPOO,11868.00
003193,P._HIG._TORK_50MT_8*4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,85200,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,13809.90
003830,_NOVA_ULTRA_GIGANTE_AZUL,8,1,0,0,0,0,0,0,0,0,0,0,0,0,130320,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,15599.00
005263,JABON_BARRA_DOVE_ORIGINAL,84,1,0,0,0,0,0,0,0,0,0,0,0,0,54600,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,540.00
005815,JABON_PARA_ROPA_AILEDA_170GR,10,1,0,0,0,0,0,0,0,0,0,0,0,0,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,550.00
005887,LIMPIA_PISO_PINVAL*12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49560,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,0.00
004503,LIMPIAPISO_EXCELL_12*900ML,9,1,0,0,0,0,0,0,0,0,0,0,0,0,78840,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,7929.14
005125,FOSFOROS_PUERTO_VARAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4990,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,4373.25
005713,RATANAX_RATICIDA_PELLETS_50GR,6,1,0,0,0,0,0,0,0,0,0,0,0,0,11340,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1582.70
001104,OMO_MATIC_MULTIAC_POLVO_400GR,15,1,0,0,0,0,0,0,0,0,0,0,0,0,14250,0,0,0,0,0,0,0,0,0,0,0,0,0,LAV_.ROPA,850.00
001629,OMO_LIQ._P/DILUIR_RECARGA_500ML,40,1,0,0,0,0,0,0,0,0,0,0,0,0,139600,0,0,0,0,0,0,0,0,0,0,0,0,0,LAV_.ROPA,3350.00
005644,PANTENE_SHAMPOO_300ML,18,1,0,0,0,0,0,0,0,0,0,0,0,0,35820,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1850.00
002637,SERVILLETA_GIULIETTA_300*12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,122400,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,9591.40
003307,PEPSODENT_PACK_3*2_EXTRA_WHIT_90GR,33,1,0,0,0,0,0,0,0,0,0,0,0,0,65670,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1600.00
001167,CLORO_GEL_IGENIX_900ML*10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,98100,0,0,0,0,0,0,0,0,0,0,0,0,0,CLORO,9290.00
004105,CLORINDA_1L*15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,181200,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,14100.00
004823,TOALLAS_HUMEDAS_BRILLEX_50U*10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,5300.00
001547,TOALLITA_BABYSEC_PREMIUM_45UN*10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,20970,0,0,0,0,0,0,0,0,0,0,0,0,0,T._HUMEDAS,5600.00
002044,SCHICK_TITANIUM_4*10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,79900,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,7099.99
001623,BOLSA_DOM_50X70,360,1,0,0,0,0,0,0,0,0,0,0,0,0,95650,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,200.00
001124,EMB._P._HIG._SWAN__8*6,195,1,0,0,0,0,0,0,0,0,0,0,0,0,1595900,0,0,0,0,0,0,0,0,0,0,0,0,0,P.HIG,8000.37
000443,VANISH_SOBRE_MIXTO_X24,7,1,0,0,0,0,0,0,0,0,0,0,0,0,58800,0,0,0,0,0,0,0,0,0,0,0,0,0,LAV_.ROPA,6006.99
001417,COLGATE_LUMINOUS_WHITE_140G*12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,47760,0,0,0,0,0,0,0,0,0,0,0,0,0,DENTAL,21600.00
002230,ACONDICIONADOR_BALLERINA_750ML*12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,111168,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,9588.00
003770,DRIVE_LIQUIDO_3LT*4_AZUL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,38320,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,16200.00
004368,P._HIGIE._RENDIPLUS_20MT_8*6,76,1,0,0,0,0,0,0,0,0,0,0,0,0,643960,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,8400.00
002733,ROLLO_COCINA_TORK_8*2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,144680,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,8489.46
000477,CLORO_ROPA_COLOR_ARCADIA_960CC*12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,38040,0,0,0,0,0,0,0,0,0,0,0,0,0,CLORO,9120.00
005900,YERBA_MATTE*12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,9000.00
004906,GOMITAS_FRUTAL/ACIDAS,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1000.00
001388,SUAVIZANTE_FUZOL_1L*12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,34548,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,10200.00
004241,PILA_EVEREADY_D*12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,42480,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,6720.00
005679,PILA_EVEREADY_AA_TIRA*24U,3,1,0,0,0,0,0,0,0,0,0,0,0,0,14328,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,3335.00
005794,PILA_EVEREADY_AAA_TIRA*24U,5,1,0,0,0,0,0,0,0,0,0,0,0,0,23880,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,3335.99
005941,MAYO_KRAFT_SACHET,4,1,0,0,0,0,0,0,0,0,0,0,0,0,56880,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,0.00
003958,AROMATIZANTE_AGUACOL_500CC*6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,57120,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,5961.90
004994,PRESTOBARBA_MUJER_5HOJAS*12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,4200.00
001457,VELAS_PUERTO_VARAS_SUPER_ECO.,10,1,0,0,0,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,VELAS,410.00
003850,RINSO_LAVALOZA_750ML*15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10485,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,9600.00
005682,PAPEL_PREMIUM_XL,15,1,0,0,0,0,0,0,0,0,0,0,0,0,59850,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,3451.00
003169,ARIEL_1.8L*6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,107820,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,31139.92
000878,P.HIG._SCOTT_RINDEMAX_8*6,25,1,0,0,0,0,0,0,0,0,0,0,0,0,232810,0,0,0,0,0,0,0,0,0,0,0,0,0,P.HIG,8900.00
002742,CLORO_GEL_BRILLEX*10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15980,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,6650.00
002354,TOALLA_SWAN_CLASICA_8*3,38,1,0,0,0,0,0,0,0,0,0,0,0,0,235790,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,5900.00
001615,LAVALOZA_FUZOL_1L*12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,44244,0,0,0,0,0,0,0,0,0,0,0,0,0,LAVALOZA,10428.00
005959,CLUB_SOCIAL_PACK,24,1,0,0,0,0,0,0,0,0,0,0,0,0,16560,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,0.00
001218,PAÑAL_BABYSEG_XXG*14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,87600,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,19650.47
003816,ESCOBILLON_GENESIS,46,1,0,0,0,0,0,0,0,0,0,0,0,0,36340,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,600.00
001991,SERV._DON_AURELIO_300X10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,35160,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,8199.10
000860,TOALLITA_DESINF._CHIKOOL,90,1,0,0,0,0,0,0,0,0,0,0,0,0,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,700.00
000880,LADYSOFT_NOCT_TELA_SUAVE_x7_282,144,1,0,0,0,0,0,0,0,0,0,0,0,0,113760,0,0,0,0,0,0,0,0,0,0,0,0,0,T._HIGIENICAS,559.99
003815,LADYSOFT_UD_NOCTURNA_MALLA_12*14__285,10,1,0,0,0,0,0,0,0,0,0,0,0,0,166800,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,13439.00
005951,PANETON_BAUDUCCO_500GR,11,1,0,0,0,0,0,0,0,0,0,0,0,0,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,0.00
004217,TOALLA_AFFECTO_250*2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6990,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,6426.00
002308,PREST._GILLETE_CONFORT_BLUE_III_*10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,7390.00
003508,PACK_BARRA_NIVEA*5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,50700,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,7750.00
003667,PANAL_D/HOJA_40_MTS_*8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,157890,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,11589.00
003828,DOWNY_SUAVIZANTE_400ML,12,1,0,0,0,0,0,0,0,0,0,0,0,0,20280,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1400.00
001320,SCHICK_4_*10_FEMENINA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,71910,0,0,0,0,0,0,0,0,0,0,0,0,0,LIMPIA_PISOS,7099.93
001608,PAÑO_MICROFIBRA_DON_AHORRITO*25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8750,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,4999.90
002782,EMUWIPES_SIN_TAPA_80U*24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23880,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,22463.63
005159,SUAVIZANTE_COMFORT_1LT,24,1,0,0,0,0,0,0,0,0,0,0,0,0,83760,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,3249.98
000683,TANAX_AEROSOL_MAT.INS._220CC,36,1,0,0,0,0,0,0,0,0,0,0,0,0,35964,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,969.85
000687,TANAX_AEROSOL_M/Z_220CC,48,1,0,0,0,0,0,0,0,0,0,0,0,0,47952,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1083.39
005426,VELAS_SUR_CHICA_115gr,10,1,0,0,0,0,0,0,0,0,0,0,0,0,4250,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,372.00
005615,SERVILLETA_DON_AURELIO_DISEÑO_250U*12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,9467.64
004780,OMO_ULTRA_POWER_400*15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,186150,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,9600.00
005317,ESPONJAS_MULTIUSO_GHOSH_*4,22,1,0,0,0,0,0,0,0,0,0,0,0,0,10978,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,351.05
003459,ANTIBAC_DESINFECTANTE_400CC,48,1,0,0,0,0,0,0,0,0,0,0,0,0,76320,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1353.03
004375,BOLSA_BRILLEX_50X70,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,285.00
002840,BOLSA_DOM_105*150,95,1,0,0,0,0,0,0,0,0,0,0,0,0,198550,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1790.00
005869,PERFUME_ARABE*12_200ML,7,1,0,0,0,0,0,0,0,0,0,0,0,0,167160,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,21000.00
004455,DETERGENTE_MATIC_TODAY_5LT,10,1,0,0,0,0,0,0,0,0,0,0,0,0,19900,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1989.68
005457,PAMPERS_CARE_XXG*16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,52640,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,26000.00
001565,RINSO_DILUIR_500ML,18,1,0,0,0,0,0,0,0,0,0,0,0,0,43020,0,0,0,0,0,0,0,0,0,0,0,0,0,LAV_.ROPA,2150.00
001112,QUIX_500ML*15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,103950,0,0,0,0,0,0,0,0,0,0,0,0,0,LAVALOZA,11850.00
003592,EMULSIONADO_BABYLAND_270ML,12,1,0,0,0,0,0,0,0,0,0,0,0,0,17880,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,1300.00
005894,TOALLA_PROPAPER_XL,8,1,0,0,0,0,0,0,0,0,0,0,0,0,59120,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,6664.00
005032,SERVILLETA_TODAY,6,1,0,0,0,0,0,0,0,0,0,0,0,0,45290,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,6990.00
005402,P._HIGIE._SCOTT_RINDEMAX_50MT_6*4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,29270,0,0,0,0,0,0,0,0,0,0,0,0,0,NO TIENE,9049.95
